"Español","Quechua (OPS/OMS Bolivia 2013)","Quechua corregido","Aymara"
"Buenos días.","Allin p’unchaw","",""
"Buenas tardes","Allin sukha","",""
"Buenas Noches","Allin tuta","",""
"Yo soy el doctor/la doctora...","Ñuqa jampiq kani.","",""
"Cuando te pregunte, me vas a decir sí, ó me vas a decir no","Tapusuqtiy, arí niwanki, manachayrí mana niwanki","",""
"¿Sí o No? ¿Sí? ¿No?","¿Manachu? ¿Arí manachu? ¿Arí?","",""
"¿Cómo te llamas?","¿Imataq sutiyki?","",""
"¿Cuántos años tienes?","¿Machkha watayuq kanki?","",""
"¿Trabajas?","¿Llamk’ankichu?","",""
"¿En qué trabajas?","¿Imapi llamk’anki?","",""
"¿De dónde eres?","¿Maymantataq kanki?","",""
"¿Dónde has nacido?","¿Maypitaq paqarikurqanki?","",""
"¿De dónde vienes?","¿Maymantataq jamuchkanki?","",""
"¿Dónde vives?","¿Maypitaq tiyakunki?","",""
"¿En tu casa hay personas que tosen?","¿Wasiykipi runakuna ch’ujuykachankuchu?","",""
"¿En el lugar que trabajas la gente tose?","¿Llamk’anki chaypi runakuna ch’ujuykachankuchu?","",""
"¿La gente de tu casa está enferma de tuberculosis?","¿Wasiykipi ch’aki ch’ujuwan unqusqa runakuna kankuchu?","",""
"¿En el lugar que trabajas las personas están enfermas de tuberculosis?","¿Llamk’anki chaypi ch’aki ch’ujuwan unqusqa runakuna kankuchu?","",""
"¿Has estado enfermo de diabetes?","¿Ñawpaqta diabeteswan unqurqankichu?","",""
"¿Cuándo te cortas sana bien?","¿Khuchukuqtiyki sumaqtachu thaniyan?","",""
"¿En cuánto tiempo te has sanado?","¿Machkha unaypi thanirikunki?","",""
"¿Has estado internado en el hospital?","¿Hospitalpi internasqa kayta yachankichu?","",""
"¿La gente de tu casa han estado enfermos?","¿Wasiykimanta runakuna kunan kunan unqusqa karqankuchu?","",""
"¿En tu casa hay alguien enfermo?","¿Wasiykipi pillapis unqusqa kanchu?","",""
"¿De qué está enfermo?","¿Imamanta unqusqa kachkan?","",""
"¿La gente de tu casa están sanos?","¿Wasiykipi runakuna allillanchu kakuchkanku?","",""
"¿Tu papá y tu mamá viven?","¿Tatayki mamayki kawsakunkuchu?","",""
"¿Tienes hermanos?","¿Wawqikunayki tiyapusunkichu?","",""
"¿Tienes hermanas?","¿Ñañakunayki tiyapusunkichu?","",""
"¿Tienes hijos?","¿Wawakunayki tiyapusunkichu?","",""
"¿Cuántos?","¿Machkha?","",""
"¿Están sanos?","¿Thanillachu kakuchkanku?","",""
"¿Están enfermos?","¿Unqusqachu kachkanku?","",""
"¿De cuántos años? (referente a edad)","¿Machkha watayuq?","",""
"¿De cuántos meses?","¿Machkha killayuq?","",""
"¿De cuántos días?","¿Machkha p’unchawniyuq?","",""
"¿Cómo estás?","¿Imaynalla kachkanki?","",""
"¿Cómo has estado en la noche?","¿Tutarí imaynalla karqanki?","",""
"Espera te voy a revisar","Suyarikuy qhawasqayki","",""
"Siéntese","Tiyarikuy","",""
"Dé la vuelta","Tikrarikuy","",""
"Échese del lado izquierdo","Lluq’inmanta siriykuy","",""
"Échese del lado derecho","Pañanmanta siriykuy.","",""
"No se mueva","Ama kuyuychu","",""
"Quítese la ropa","P’achaykita urqhukuy","",""
"Quítese la ropa interior","Ukhu p’achaykita urqhukuy","",""
"Voy a examinar tu corazón","Sunquykita qhawarisaq","",""
"Voy a examinar tus pulmones","Surq’ankunaykita qhawarisaq","",""
"Voy a examinar tu espalda","Wasaykita qhawarisaq","",""
"Voy a examinar tu abdomen","Wiksaykita qhawarisaq","",""
"Voy a examinar tus riñones","Lurunkunaykita qhawarisaq","",""
"Voy a examinar tus genitales","P’inqanaykita qhawarisaq","",""
"Respira como si estuvieses cansado","Samay sayk’usqapis kachkawaqjina","",""
"Di en voz alta 33","Kallpawan niway 33","",""
"Di en voz (cuchicheada) baja 33","Thutuspajinalla niway 33","",""
"Tome una respiración profunda... espere... respire","Jatunmanta samariy... suyakuy... samay","",""
"Muéstrame donde te duele","Maypi nanasunki chay chhiqanta rikhuchiway","",""
"Dime si te duele cuando oprimo aquí","Kaypi ñit’isuqtiy nanasunkichu manachu chayta willawanki","",""
"Dime si te duele cuando golpeo aquí","Kaypi takasuqtiy nanasunkichu manachu chayta willawanki.","",""
"Dime si te duele cuando hago esto","Kayta ruwaqtiy nanasunkichu manachu, chayta willawanki","",""
"Haz fuerza como si quisieras hacer caca","Akaytapis munachkawaqjina kallpata ruway.","",""
"Abra grande la boca","Simiykita jatunta kichariy","",""
"Saque la lengua","Qalluykita sik’iy","",""
"Camine","Puriykachay","",""
"Mueva el cuello","Kunkaykita kuyuchiy","",""
"Mueva el hombro","Rikraykita kuyuchiy","",""
"Mueva el codo","Maki muquykita kuyuchiy","",""
"Mueva la mano","Makiykita kuyuchiy","",""
